2020-02-03 13:52:57,432: Mouse clicked at (896, 124) with Button.left
2020-02-03 13:53:00,607: Mouse clicked at (441, 122) with Button.left
2020-02-03 13:53:01,822: Mouse clicked at (503, 228) with Button.right
2020-02-03 13:53:02,612: Mouse clicked at (462, 312) with Button.left
2020-02-03 13:53:04,132: Mouse clicked at (496, 751) with Button.left
2020-02-03 13:53:05,425: Mouse clicked at (539, 282) with Button.left
2020-02-03 13:53:20,931: Mouse clicked at (1174, 141) with Button.left
2020-02-03 13:55:26,064: Mouse clicked at (1365, 0) with Button.left
2020-02-03 13:55:28,864: Mouse clicked at (1104, 154) with Button.left
2020-03-13 20:43:45,829: Mouse clicked at (1073, 115) with Button.left
2020-04-04 19:16:38,671: Mouse clicked at (792, 251) with Button.left
2020-04-30 12:57:10,287: Mouse clicked at (718, 267) with Button.left
2020-04-30 12:57:27,525: Mouse scrolled at (742, 300)(0, 1)
2020-04-30 12:57:27,541: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,557: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,573: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,589: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,781: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,798: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,813: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,829: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:27,845: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,038: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,062: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,070: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,086: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,109: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,302: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,317: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,325: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,341: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,373: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,558: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,573: Mouse scrolled at (742, 302)(0, 1)
2020-04-30 12:57:28,582: Mouse scrolled at (742, 302)(0, 1)
